2022-06-20 11:15:00,021 DEBUG    root            Loaded Command Group: ['gcloud', 'projects']
2022-06-20 11:15:00,021 DEBUG    root            Loaded Command Group: ['gcloud', 'projects', 'list']
2022-06-20 11:15:00,022 DEBUG    root            Running [gcloud.projects.list] with arguments: []
2022-06-20 11:15:00,022 INFO     root            client_filter="None" server_filter="None"
2022-06-20 11:15:00,029 INFO     root            Display format: "
    table(
      projectId:sort=1,
      name,
      projectNumber
    )
"
2022-06-20 11:15:00,065 DEBUG    urllib3.connectionpool Starting new HTTPS connection (1): cloudresourcemanager.googleapis.com:443
2022-06-20 11:15:00,413 DEBUG    urllib3.connectionpool https://cloudresourcemanager.googleapis.com:443 "GET /v1/projects?alt=json&filter=lifecycleState%3AACTIVE&pageSize=500 HTTP/1.1" 200 None
2022-06-20 11:15:00,414 INFO     ___FILE_ONLY___ PROJECT_ID
2022-06-20 11:15:00,414 INFO     ___FILE_ONLY___            
2022-06-20 11:15:00,414 INFO     ___FILE_ONLY___ NAME
2022-06-20 11:15:00,414 INFO     ___FILE_ONLY___                   
2022-06-20 11:15:00,414 INFO     ___FILE_ONLY___ PROJECT_NUMBER
2022-06-20 11:15:00,414 INFO     ___FILE_ONLY___ 

2022-06-20 11:15:00,414 INFO     ___FILE_ONLY___ twingate-dev
2022-06-20 11:15:00,414 INFO     ___FILE_ONLY___          
2022-06-20 11:15:00,414 INFO     ___FILE_ONLY___ Twingate Development
2022-06-20 11:15:00,414 INFO     ___FILE_ONLY___   
2022-06-20 11:15:00,414 INFO     ___FILE_ONLY___ 789646587646
2022-06-20 11:15:00,415 INFO     ___FILE_ONLY___ 

2022-06-20 11:15:00,415 INFO     ___FILE_ONLY___ twingate-playground
2022-06-20 11:15:00,415 INFO     ___FILE_ONLY___   
2022-06-20 11:15:00,415 INFO     ___FILE_ONLY___ Twingate Playground
2022-06-20 11:15:00,415 INFO     ___FILE_ONLY___    
2022-06-20 11:15:00,415 INFO     ___FILE_ONLY___ 417269620845
2022-06-20 11:15:00,415 INFO     ___FILE_ONLY___ 

2022-06-20 11:15:00,415 INFO     ___FILE_ONLY___ twingate-qa
2022-06-20 11:15:00,415 INFO     ___FILE_ONLY___           
2022-06-20 11:15:00,415 INFO     ___FILE_ONLY___ Twingate QA
2022-06-20 11:15:00,415 INFO     ___FILE_ONLY___            
2022-06-20 11:15:00,415 INFO     ___FILE_ONLY___ 1049287440173
2022-06-20 11:15:00,415 INFO     ___FILE_ONLY___ 

